imgnum,xmin,ymin,xmax,ymax,hasHead
00000179.png,259,411,130,312,1
00000180.png,239,425,69,280,1
00000181.png,214,394,69,279,1
00000182.png,242,448,67,290,1
00000183.png,203,391,71,284,1
00000184.png,256,406,130,312,1
00000185.png,193,411,69,277,1
00000186.png,174,348,125,325,1
00000187.png,242,445,68,289,1
00000188.png,240,390,140,314,1
00000189.png,233,401,95,291,1
00000190.png,240,390,141,314,1
00000191.png,216,397,69,278,1
00000192.png,188,416,44,289,1
00000193.png,226,407,72,278,1
00000194.png,188,411,68,277,1
00000195.png,198,355,125,317,1
00000196.png,225,399,76,276,1
00000197.png,196,411,71,276,1
00000198.png,227,405,77,281,1
00000199.png,252,416,112,298,1
00000200.png,240,419,73,280,1
00000201.png,189,401,57,275,1
00000202.png,176,349,122,323,1
00000203.png,213,369,124,312,1
00000204.png,221,450,58,279,1
00000205.png,198,410,47,279,1
00000206.png,233,394,115,303,1
00000207.png,217,400,68,278,1
00000208.png,229,400,78,276,1
00000209.png,228,412,68,277,1
00000210.png,224,437,55,277,1
00000211.png,242,389,145,314,1
00000212.png,226,409,72,279,1
00000213.png,223,446,58,279,1
00000214.png,243,448,68,291,1
00000215.png,249,401,128,310,1
00000216.png,226,406,74,281,1
00000217.png,243,439,71,286,1
00000218.png,224,399,83,286,1
00000219.png,242,448,67,290,1
00000220.png,239,434,69,285,1
00000221.png,239,416,73,280,1
00000222.png,182,417,46,294,1
00000223.png,226,406,75,280,1
00000224.png,239,425,69,280,1
00000225.png,190,390,68,289,1
00000226.png,176,404,60,278,1
00000227.png,190,390,68,289,1
00000228.png,173,347,125,327,1
00000229.png,223,423,54,274,1
00000230.png,226,411,68,277,1
00000231.png,223,446,58,279,1
00000232.png,192,413,45,285,1
00000233.png,242,448,67,290,1
00000234.png,253,416,115,302,1
00000235.png,188,414,45,286,1
00000236.png,200,363,103,302,1
00000237.png,231,403,87,288,1
00000238.png,190,390,68,289,1
00000239.png,243,446,68,289,1
00000240.png,182,411,66,276,1
00000241.png,220,397,74,279,1
00000242.png,240,419,73,280,1
00000243.png,223,406,72,278,1
00000244.png,222,448,58,279,1
00000245.png,223,399,76,279,1
00000246.png,205,407,53,272,1
00000247.png,187,392,66,291,1
00000248.png,225,399,86,286,1
00000249.png,263,417,130,312,1
00000250.png,196,398,56,272,1
00000251.png,212,407,59,274,1
00000252.png,227,405,80,284,1
00000253.png,242,448,67,290,1
00000254.png,244,388,155,315,1
00000255.png,205,391,71,282,1
00000256.png,221,450,58,279,1
00000257.png,243,448,68,291,1
00000258.png,241,442,68,287,1
00000259.png,234,415,68,278,1
00000260.png,207,404,55,272,1
00000261.png,244,388,153,316,1
00000262.png,243,388,147,313,1
00000263.png,182,402,59,274,1
00000264.png,191,414,46,286,1
00000265.png,212,414,53,274,1
00000266.png,190,401,57,275,1
00000267.png,210,408,56,273,1
00000268.png,244,388,155,316,1
00000269.png,233,412,74,280,1
00000270.png,205,407,53,272,1
00000271.png,205,391,71,282,1
00000272.png,244,388,155,316,1
00000273.png,198,360,106,304,1
00000274.png,243,396,127,310,1
00000275.png,228,399,77,277,1
00000276.png,221,450,57,278,1
00000277.png,215,369,124,312,1
00000278.png,243,440,70,287,1
00000279.png,262,414,130,313,1
00000280.png,189,401,57,275,1
00000281.png,226,381,125,310,1
00000282.png,193,353,126,317,1
00000283.png,239,416,73,280,1
00000284.png,169,408,61,278,1
00000285.png,174,348,123,325,1
00000286.png,256,416,116,303,1
00000287.png,199,391,69,286,1
00000288.png,224,434,55,276,1
00000289.png,172,406,60,277,1
00000290.png,173,347,125,327,1
00000291.png,185,416,45,289,1
00000292.png,242,447,67,289,1
00000293.png,216,397,69,278,1
00000294.png,226,406,74,279,1
00000295.png,182,417,46,294,1
00000296.png,226,407,74,280,1
00000297.png,244,388,154,316,1
00000298.png,176,403,59,277,1
00000299.png,225,402,78,281,1
00000300.png,216,404,64,275,1
00000301.png,225,406,74,280,1
00000302.png,194,358,108,306,1
00000303.png,226,406,74,281,1
00000304.png,225,429,54,274,1
00000305.png,183,417,45,293,1
00000306.png,221,404,68,277,1
00000307.png,243,398,126,311,1
00000308.png,227,405,80,283,1
00000309.png,238,394,127,311,1
00000310.png,225,444,57,277,1
00000311.png,229,410,74,279,1
00000312.png,187,391,66,290,1
00000313.png,237,395,117,304,1
00000314.png,204,409,52,275,1
00000315.png,220,397,74,279,1
00000316.png,222,406,71,279,1
00000317.png,201,355,125,316,1
00000318.png,240,440,68,287,1
00000319.png,239,395,127,310,1
00000320.png,227,405,80,284,1
00000321.png,204,393,68,283,1
00000322.png,197,398,55,274,1
00000323.png,258,416,120,304,1
00000324.png,242,390,145,314,1
00000325.png,178,410,66,276,1
00000326.png,240,419,73,280,1
00000327.png,235,390,126,310,1
00000328.png,186,391,66,290,1
00000329.png,196,392,69,286,1
00000330.png,188,411,68,277,1
00000331.png,231,387,125,309,1
00000332.png,234,390,126,310,1
00000333.png,186,392,66,291,1
00000334.png,262,416,130,313,1
00000335.png,186,392,66,291,1
00000336.png,221,399,79,283,1
00000337.png,201,404,54,272,1
00000338.png,215,403,65,274,1
00000339.png,171,348,125,327,1
00000340.png,240,389,142,314,1
00000341.png,229,414,68,279,1
00000342.png,190,392,66,290,1
00000343.png,189,390,66,290,1
00000344.png,189,414,45,286,1
00000345.png,185,416,46,291,1
00000346.png,227,406,76,281,1
00000347.png,191,392,67,287,1
00000348.png,194,412,46,283,1
00000349.png,242,415,99,291,1
00000350.png,225,406,75,280,1
00000351.png,184,416,45,291,1
00000352.png,259,416,122,307,1
00000353.png,237,422,69,279,1
00000354.png,211,392,69,280,1
00000355.png,225,397,76,278,1
00000356.png,217,401,71,278,1
00000357.png,186,391,66,290,1
00000358.png,196,398,56,272,1
00000359.png,242,447,67,289,1
00000360.png,202,392,68,283,1
00000361.png,246,416,106,295,1
00000362.png,230,395,102,296,1
00000363.png,244,388,154,316,1
00000364.png,202,411,49,277,1
00000365.png,182,417,46,294,1
00000366.png,240,395,127,310,1
00000367.png,228,410,70,277,1
00000368.png,240,395,127,310,1
00000369.png,209,405,58,272,1
00000370.png,171,348,125,327,1
00000371.png,183,417,45,293,1
00000372.png,189,390,66,290,1
00000373.png,222,448,58,279,1
00000374.png,244,388,155,315,1
00000375.png,242,447,67,289,1
00000376.png,191,414,45,285,1
00000377.png,177,408,63,277,1
00000378.png,188,414,44,289,1
00000379.png,204,393,68,283,1
00000380.png,190,392,66,290,1
00000381.png,225,445,59,277,1
00000382.png,258,416,120,304,1
00000383.png,212,413,53,273,1
00000384.png,223,408,68,277,1
00000385.png,200,391,69,284,1
00000386.png,228,408,74,279,1
00000387.png,238,390,134,312,1
00000388.png,225,411,69,278,1
00000389.png,186,391,66,291,1
00000390.png,224,408,68,277,1
00000391.png,224,444,60,279,1
00000392.png,233,400,101,296,1
00000393.png,241,442,68,287,1
00000394.png,186,416,46,291,1
00000395.png,186,348,126,320,1
00000396.png,226,433,62,275,1
00000397.png,262,414,130,313,1
00000398.png,220,396,81,285,1
00000399.png,237,395,117,304,1
00000400.png,199,410,47,278,1
00000401.png,171,348,125,327,1
00000402.png,227,406,76,281,1
00000403.png,225,399,76,276,1
00000404.png,239,434,69,285,1
00000405.png,243,388,147,313,1
00000406.png,228,412,68,277,1
00000407.png,238,393,125,310,1
00000408.png,237,390,131,312,1
00000409.png,189,390,67,290,1
00000410.png,215,397,69,277,1
00000411.png,197,412,46,281,1
00000412.png,236,418,69,278,1
00000413.png,192,413,45,285,1
00000414.png,174,410,63,279,1
00000415.png,223,408,68,277,1
00000416.png,174,410,63,279,1
00000417.png,175,346,125,325,1
00000418.png,202,411,49,277,1
00000419.png,225,440,60,277,1
00000420.png,217,393,73,280,1
00000421.png,243,431,72,284,1
00000422.png,233,400,101,296,1
00000423.png,229,427,65,274,1
00000424.png,225,429,54,274,1
00000425.png,244,388,154,316,1
00000426.png,181,402,59,274,1
00000427.png,198,410,47,279,1
00000428.png,240,439,68,287,1
00000429.png,243,446,67,289,1
00000430.png,171,408,61,277,1
00000431.png,227,412,68,277,1
00000432.png,199,391,69,286,1
00000433.png,210,408,56,273,1
00000434.png,171,406,61,278,1
00000435.png,238,392,131,311,1
00000436.png,194,412,46,283,1
00000437.png,234,415,68,278,1
00000438.png,221,448,56,279,1
00000439.png,184,417,45,293,1
00000440.png,212,407,59,274,1
00000441.png,228,404,81,284,1
00000442.png,213,413,80,278,1
00000443.png,252,416,112,298,1
00000444.png,203,356,125,315,1
00000445.png,203,404,54,274,1
00000446.png,186,348,126,320,1
00000447.png,249,401,128,310,1
00000448.png,216,397,69,278,1
00000449.png,217,406,66,276,1
00000450.png,259,411,130,313,1
00000451.png,240,440,68,287,1
00000452.png,230,411,75,280,1
00000453.png,235,390,126,310,1
00000454.png,234,390,126,310,1
00000455.png,225,441,57,277,1
00000456.png,211,404,62,274,1
00000457.png,190,390,68,289,1
00000458.png,224,437,55,277,1
00000459.png,255,406,129,312,1
00000460.png,206,409,54,272,1
00000461.png,226,407,74,278,1
00000462.png,201,355,125,316,1
00000463.png,213,385,87,288,1
00000464.png,203,409,51,275,1
00000465.png,242,447,67,289,1
00000466.png,209,411,54,272,1
00000467.png,217,392,83,286,1
00000468.png,184,401,58,278,1
00000469.png,233,412,74,280,1
00000470.png,221,450,57,278,1
00000471.png,242,415,99,291,1
00000472.png,208,378,93,292,1
00000473.png,233,400,101,296,1
00000474.png,244,446,66,290,1
00000475.png,213,385,87,288,1
00000476.png,203,369,98,298,1
00000477.png,185,416,45,289,1
00000478.png,244,416,102,293,1
00000479.png,233,412,74,280,1
00000480.png,242,447,67,289,1
00000481.png,225,431,55,274,1
00000482.png,241,419,73,280,1
00000483.png,177,403,59,278,1
00000484.png,233,400,101,296,1
00000485.png,244,388,150,316,1
00000486.png,177,349,121,321,1
00000487.png,244,443,68,288,1
00000488.png,187,392,66,291,1
00000489.png,205,404,54,272,1
00000490.png,180,349,118,318,1
00000491.png,234,413,74,280,1
00000492.png,213,385,87,288,1
00000493.png,239,391,138,314,1
00000494.png,243,388,150,315,1
00000495.png,221,399,80,283,1
00000496.png,242,390,145,314,1
00000497.png,201,402,55,276,1
00000498.png,221,450,59,279,1
00000499.png,238,391,130,311,1
00000500.png,231,401,93,291,1
00000501.png,204,409,51,273,1
00000502.png,216,372,125,311,1
00000503.png,242,448,67,290,1
00000504.png,225,402,78,281,1
00000505.png,229,414,90,285,1
00000506.png,201,392,69,284,1
00000507.png,212,414,53,274,1
00000508.png,263,416,130,313,1
00000509.png,225,406,75,281,1
00000510.png,218,393,83,285,1
00000511.png,259,416,122,307,1
00000512.png,220,397,74,279,1
00000513.png,212,413,53,273,1
00000514.png,175,348,125,325,1
00000515.png,203,391,71,284,1
00000516.png,240,440,68,287,1
00000517.png,242,447,67,289,1
00000518.png,222,422,54,274,1
00000519.png,217,418,53,274,1
00000520.png,222,448,58,279,1
00000521.png,235,398,82,271,1
00000522.png,211,413,78,277,1
00000523.png,239,416,73,280,1
00000524.png,226,406,75,280,1
00000525.png,219,395,73,279,1
00000526.png,239,432,69,283,1
00000527.png,214,392,73,280,1
00000528.png,242,389,145,314,1
00000529.png,240,391,132,311,1
00000530.png,183,417,45,294,1
00000531.png,196,398,56,272,1
00000532.png,238,391,130,311,1
00000533.png,216,397,69,278,1
00000534.png,207,404,55,272,1
00000535.png,191,392,67,287,1
00000536.png,205,392,69,282,1
00000537.png,198,360,106,304,1
00000538.png,253,403,129,311,1
00000539.png,204,409,51,273,1
00000540.png,169,408,61,278,1
00000541.png,203,369,98,298,1
00000542.png,233,399,98,295,1
00000543.png,231,394,105,297,1
00000544.png,190,392,66,290,1
00000545.png,240,438,68,285,1
00000546.png,216,389,85,286,1
00000547.png,237,395,117,304,1
00000548.png,243,396,127,310,1
00000549.png,228,412,68,277,1
00000550.png,213,369,124,312,1
00000551.png,208,362,125,312,1
00000552.png,229,414,68,279,1
00000553.png,239,434,69,285,1
00000554.png,231,424,65,274,1
00000555.png,253,416,115,302,1
00000556.png,259,411,130,313,1
00000557.png,198,412,49,279,1
00000558.png,277,354,247,329,1
00000559.png,268,366,260,344,1
00000560.png,252,329,244,324,1
00000561.png,277,354,247,329,1
00000562.png,273,364,266,353,1
00000563.png,272,367,254,340,1
00000564.png,273,364,266,353,1
00000565.png,253,331,242,324,1
00000566.png,257,336,239,325,1
00000567.png,252,330,242,324,1
00000568.png,258,346,266,351,1
00000569.png,258,346,266,346,1
00000570.png,268,365,261,343,1
00000571.png,283,378,276,367,1
00000572.png,234,325,277,353,1
00000573.png,257,334,239,323,1
00000574.png,271,358,262,346,1
00000575.png,261,349,257,338,1
00000576.png,269,365,255,338,1
00000577.png,262,347,261,352,1
00000578.png,258,339,245,328,1
00000579.png,277,371,272,358,1
00000580.png,267,346,250,330,1
00000581.png,275,352,245,329,1
00000582.png,266,344,251,330,1
00000583.png,279,356,248,328,1
00000584.png,278,372,272,361,1
00000585.png,241,326,256,334,1
00000586.png,277,354,247,329,1
00000587.png,273,367,254,340,1
00000588.png,254,333,250,328,1
00000589.png,244,330,264,342,1
00000590.png,262,349,257,337,1
00000591.png,245,327,250,329,1
00000592.png,273,367,254,340,1
00000593.png,265,360,256,338,1
00000594.png,243,329,265,342,1
00000595.png,234,325,276,353,1
00000596.png,278,355,249,329,1
00000597.png,234,325,276,353,1
00000598.png,278,355,247,328,1
00000599.png,259,347,265,345,1
00000600.png,266,344,251,330,1
00000601.png,254,331,241,322,1
00000602.png,278,355,249,329,1
00000603.png,265,349,260,340,1
00000604.png,260,344,257,336,1
00000605.png,259,346,251,335,1
00000606.png,242,326,254,332,1
00000607.png,275,351,249,331,1
00000608.png,271,360,261,345,1
00000609.png,273,355,262,350,1
00000610.png,258,339,254,333,1
00000611.png,263,349,266,358,1
00000612.png,259,339,256,334,1
00000613.png,258,346,264,348,1
00000614.png,264,358,256,338,1
00000615.png,277,371,272,358,1
00000616.png,235,325,275,352,1
00000617.png,256,334,252,331,1
00000618.png,234,325,275,351,1
00000619.png,274,353,262,352,1
00000620.png,258,336,251,329,1
00000621.png,255,332,240,322,1
00000622.png,271,361,262,343,1
00000623.png,243,326,246,324,1
00000624.png,276,353,246,329,1
00000625.png,255,333,250,328,1
00000626.png,247,327,248,326,1
00000627.png,265,360,256,338,1
00000628.png,276,353,246,329,1
00000629.png,282,378,276,368,1
00000630.png,260,345,254,334,1
00000631.png,244,326,246,324,1
00000632.png,253,337,258,336,1
00000633.png,274,351,246,329,1
00000634.png,251,329,248,326,1
00000635.png,259,347,265,346,1
00000636.png,274,350,246,329,1
00000637.png,257,345,263,345,1
00000638.png,234,325,276,353,1
00000639.png,263,348,265,358,1
00000640.png,245,326,247,325,1
00000641.png,260,341,256,335,1
00000642.png,234,325,276,353,1
00000643.png,275,367,268,354,1
00000644.png,279,356,248,328,1
00000645.png,250,328,244,324,1
00000646.png,282,377,275,366,1
00000647.png,273,351,249,332,1
00000648.png,278,355,247,329,1
00000649.png,262,344,253,332,1
00000650.png,246,327,247,325,1
00000651.png,259,346,266,353,1
00000652.png,267,351,259,338,1
00000653.png,263,346,258,338,1
00000654.png,243,325,247,325,1
00000655.png,278,355,247,328,1
00000656.png,265,348,255,335,1
00000657.png,263,349,266,358,1
00000658.png,235,326,273,350,1
00000659.png,277,354,247,329,1
00000660.png,261,345,254,334,1
00000661.png,258,337,251,329,1
00000662.png,277,354,247,329,1
00000663.png,262,344,252,333,1
00000664.png,251,329,248,327,1
00000665.png,249,327,250,327,1
00000666.png,266,349,263,358,1
00000667.png,259,346,265,352,1
00000668.png,258,347,264,345,1
00000669.png,253,331,242,324,1
00000670.png,244,326,247,325,1
00000671.png,258,346,266,350,1
00000672.png,234,325,276,353,1
00000673.png,267,365,261,344,1
00000674.png,257,345,263,345,1
00000675.png,270,368,257,341,1
00000676.png,260,340,252,330,1
00000677.png,259,345,265,352,1
00000678.png,270,368,257,341,1
00000679.png,254,332,241,324,1
00000680.png,260,341,250,335,1
00000681.png,266,355,258,343,1
00000682.png,270,366,256,340,1
00000683.png,261,343,254,331,1
00000684.png,260,339,249,333,1
00000685.png,278,355,247,328,1
00000686.png,252,330,251,329,1
00000687.png,279,376,272,364,1
00000688.png,263,347,266,358,1
00000689.png,255,333,239,321,1
00000690.png,260,341,256,335,1
00000691.png,256,334,238,322,1
00000692.png,277,353,248,330,1
00000693.png,246,326,248,326,1
00000694.png,278,369,271,358,1
00000695.png,278,355,249,329,1
00000696.png,250,328,244,324,1
00000697.png,261,345,261,348,1
00000698.png,235,326,273,350,1
00000699.png,265,359,256,338,1
00000700.png,262,347,265,354,1
00000701.png,282,377,275,366,1
00000702.png,251,329,248,327,1
00000703.png,250,327,247,325,1
00000704.png,249,328,247,326,1
00000705.png,277,353,246,329,1
00000706.png,281,379,274,368,1
00000707.png,267,346,250,330,1
00000708.png,266,355,258,343,1
00000709.png,264,348,259,338,1
00000710.png,258,347,264,345,1
00000711.png,263,353,255,337,1
00000712.png,243,325,247,325,1
00000713.png,233,325,276,353,1
00000714.png,259,346,266,353,1
00000715.png,273,367,254,340,1
00000716.png,275,351,248,331,1
00000717.png,235,326,273,350,1
00000718.png,277,353,248,330,1
00000719.png,278,373,273,361,1
00000720.png,259,337,242,326,1
00000721.png,276,353,248,330,1
00000722.png,236,326,273,350,1
00000723.png,243,329,265,342,1
00000724.png,274,366,254,340,1
00000725.png,257,346,257,338,1
00000726.png,257,346,261,342,1
00000727.png,245,327,251,329,1
00000728.png,273,356,262,349,1
00000729.png,234,325,274,350,1
00000730.png,252,335,259,337,1
00000731.png,273,356,261,351,1
00000732.png,258,346,265,345,1
00000733.png,272,361,265,349,1
00000734.png,248,328,248,326,1
00000735.png,247,328,249,327,1
00000736.png,234,325,271,349,1
00000737.png,260,345,256,335,1
00000738.png,256,336,253,332,1
00000739.png,258,337,251,329,1
00000740.png,269,347,249,329,1
00000741.png,256,334,238,322,1
00000742.png,264,348,266,358,1
00000743.png,268,355,263,345,1
00000744.png,255,333,238,321,1
00000745.png,263,355,255,337,1
00000746.png,252,329,244,324,1
00000747.png,277,353,246,329,1
00000748.png,254,332,241,324,1
00000749.png,252,330,242,324,1
00000750.png,277,353,246,329,1
00000751.png,272,359,265,347,1
00000752.png,268,364,261,344,1
00000753.png,274,367,268,356,1
00000754.png,250,327,245,325,1
00000755.png,259,346,266,353,1
00000756.png,255,333,239,321,1
00000757.png,243,325,247,325,1
00000758.png,255,332,252,329,1
00000759.png,259,345,258,337,1
00000760.png,263,347,266,358,1
00000761.png,266,349,263,358,1
00000762.png,258,348,263,345,1
00000763.png,279,374,272,363,1
00000764.png,260,339,252,330,1
00000765.png,271,366,254,339,1
00000766.png,234,325,276,353,1
00000767.png,260,344,257,336,1
00000768.png,261,343,254,331,1
00000769.png,256,334,252,331,1
00000770.png,233,325,276,353,1
00000771.png,243,325,247,325,1
00000772.png,258,345,261,342,1
00000773.png,260,348,259,340,1
00000774.png,260,343,257,336,1
00000775.png,247,327,249,327,1
00000776.png,264,347,256,336,1
00000777.png,236,326,273,350,1
00000778.png,244,326,248,325,1
00000779.png,245,326,247,325,1
00000780.png,233,325,276,353,1
00000781.png,278,355,247,329,1
00000782.png,259,347,265,349,1
00000783.png,250,327,246,325,1
00000784.png,276,353,248,330,1
00000785.png,262,345,254,331,1
00000786.png,278,355,247,328,1
00000787.png,275,351,249,331,1
00000788.png,266,348,265,357,1
00000789.png,271,366,255,340,1
00000790.png,246,327,247,325,1
00000791.png,241,326,254,334,1
00000792.png,252,331,251,329,1
00000793.png,276,352,245,329,1
00000794.png,257,334,237,323,1
00000795.png,273,349,248,329,1
00000796.png,258,339,245,328,1
00000797.png,278,354,247,329,1
00000798.png,251,329,244,324,1
00000799.png,275,364,268,353,1
00000800.png,265,360,256,338,1
00000801.png,260,339,252,330,1
00000802.png,243,325,247,325,1
00000803.png,268,363,255,338,1
00000804.png,269,357,263,346,1
00000805.png,262,347,263,353,1
00000806.png,279,376,272,364,1
00000807.png,266,355,258,343,1
00000808.png,267,351,259,338,1
00000809.png,261,346,261,350,1
00000810.png,234,325,275,353,1
00000811.png,277,354,247,329,1
00000812.png,258,338,254,333,1
00000813.png,255,333,238,321,1
00000814.png,271,360,261,345,1
00000815.png,263,345,258,336,1
00000816.png,262,343,253,333,1
00000817.png,237,325,262,340,1
00000818.png,260,342,252,339,1
00000819.png,262,344,253,332,1
00000820.png,276,353,247,330,1
00000821.png,234,325,277,353,1
00000822.png,236,325,264,341,1
00000823.png,260,344,257,336,1
00000824.png,264,349,254,334,1
00000825.png,270,361,262,343,1
00000826.png,262,347,261,352,1
00000827.png,271,350,262,353,1
00000828.png,263,344,252,331,1
00000829.png,266,349,258,338,1
00000830.png,254,332,240,322,1
00000831.png,275,351,249,331,1
00000832.png,272,367,254,340,1
00000833.png,258,347,263,343,1
00000834.png,251,329,248,326,1
00000835.png,266,349,258,338,1
00000836.png,240,328,267,345,1
00000837.png,279,356,248,328,1
00000838.png,249,328,247,326,1
00000839.png,252,335,259,337,1
00000840.png,261,347,261,342,1
00000841.png,276,353,248,330,1
00000842.png,258,346,266,351,1
00000843.png,257,333,238,321,1
00000844.png,270,366,256,340,1
00000845.png,278,356,247,329,1
00000846.png,272,361,265,349,1
00000847.png,268,355,263,345,1
00000848.png,260,342,252,339,1
00000849.png,267,346,251,330,1
00000850.png,269,366,257,342,1
00000851.png,270,366,258,342,1
00000852.png,272,348,248,329,1
00000853.png,246,330,262,341,1
00000854.png,260,341,256,335,1
00000855.png,254,332,240,322,1
00000856.png,236,326,273,350,1
00000857.png,243,325,247,325,1
00000858.png,267,351,260,341,1
00000859.png,269,365,255,340,1
00000860.png,257,345,259,340,1
00000861.png,272,350,251,334,1
00000862.png,243,329,266,344,1
00000863.png,272,358,263,345,1
00000864.png,234,325,271,349,1
00000865.png,250,327,247,325,1
00000866.png,263,349,266,358,1
00000867.png,243,326,246,324,1
00000868.png,262,344,253,332,1
00000869.png,277,354,247,329,1
00000870.png,258,348,263,345,1
